Scheduled Arrival Time,minutes_early,line_ref,direction_ref,stop_point_ref,time,late bin,line_encoded,direction_encoded,stop_encoded,time_encoded,late_class
2019-07-23 18:33:55-07:00,-10.116666666666667,38,Outbound,14265,18.6,10-20 min late,2,1,71,186,1
2019-07-23 18:41:05-07:00,-2.9833333333333334,7,Inbound,15311,18.7,0-5 min late,3,0,202,187,3
2019-07-23 18:41:17-07:00,-2.8,2,Inbound,16125,18.7,0-5 min late,1,0,364,187,3
2019-07-23 18:46:17-07:00,2.183333333333333,38,Outbound,17854,18.8,ontime or early,2,1,453,188,4
2019-07-23 18:37:33-07:00,-6.55,N,Outbound,15205,18.6,5-10 min late,5,1,166,186,2
2019-07-23 18:41:18-07:00,-2.816666666666667,14,Inbound,15583,18.7,0-5 min late,0,0,253,187,3
2019-07-23 18:46:05-07:00,1.9666666666666666,2,Outbound,13644,18.8,ontime or early,1,1,29,188,4
2019-07-23 18:45:39-07:00,1.5333333333333334,38,Inbound,15814,18.8,ontime or early,2,0,345,188,4
2019-07-23 18:39:41-07:00,-4.45,2,Outbound,16609,18.6,0-5 min late,1,1,416,186,3
2019-07-23 18:38:56-07:00,-5.2,N,Inbound,15214,18.6,5-10 min late,5,0,175,186,2
2019-07-23 18:45:59-07:00,1.7166666666666666,14,Outbound,15600,18.8,ontime or early,0,1,269,188,4
2019-07-23 18:41:15-07:00,-3.0166666666666666,38,Outbound,14304,18.7,0-5 min late,2,1,103,187,3
2019-07-23 18:46:00-07:00,1.7166666666666666,38,Inbound,14756,18.8,ontime or early,2,0,116,188,4
2019-07-23 18:45:35-07:00,1.2833333333333334,M,Outbound,16223,18.8,ontime or early,4,1,374,188,4
2019-07-23 18:44:34-07:00,0.25,14,Inbound,15531,18.7,ontime or early,0,0,213,187,4
2019-07-23 18:31:27-07:00,-12.883333333333333,M,Outbound,16995,18.5,10-20 min late,4,1,428,185,1
2019-07-23 18:44:00-07:00,-0.36666666666666664,N,Inbound,14506,18.7,0-5 min late,5,0,107,187,3
2019-07-23 18:44:30-07:00,0.1,38,Inbound,14761,18.7,ontime or early,2,0,120,187,4
2019-07-23 18:09:34-07:00,-34.833333333333336,N,Inbound,15204,18.2,more than 20 min late,5,0,165,182,0
2019-07-23 18:43:16-07:00,-1.15,7,Inbound,14943,18.7,0-5 min late,3,0,132,187,3
2019-07-23 18:48:00-07:00,3.566666666666667,14,Inbound,15544,18.8,ontime or early,0,0,226,188,4
2019-07-23 18:43:39-07:00,-0.8,14,Outbound,15584,18.7,0-5 min late,0,1,254,187,3
2019-07-23 18:40:02-07:00,-4.433333333333334,2,Inbound,16020,18.7,0-5 min late,1,0,355,187,3
2019-07-23 18:09:24-07:00,-35.083333333333336,M,Inbound,13361,18.2,more than 20 min late,4,0,3,182,0
2019-07-23 18:46:59-07:00,2.4833333333333334,14,Outbound,15568,18.8,ontime or early,0,1,242,188,4
2019-07-23 18:47:18-07:00,2.716666666666667,7,Outbound,13446,18.8,ontime or early,3,1,20,188,4
2019-07-23 18:43:35-07:00,-1.0166666666666666,7,Outbound,14941,18.7,0-5 min late,3,1,130,187,3
2019-07-23 18:36:58-07:00,-7.7,2,Outbound,16601,18.6,5-10 min late,1,1,408,186,2
2019-07-23 18:45:01-07:00,0.3333333333333333,7,Inbound,15652,18.8,ontime or early,3,0,300,188,4
2019-07-23 18:45:41-07:00,0.9,7,Outbound,15657,18.8,ontime or early,3,1,303,188,4
2019-07-23 18:41:09-07:00,-3.6666666666666665,M,Outbound,13403,18.7,0-5 min late,4,1,7,187,3
2019-07-23 18:41:31-07:00,-3.316666666666667,2,Inbound,14043,18.7,0-5 min late,1,0,55,187,3
2019-07-23 18:45:38-07:00,0.6833333333333333,N,Outbound,16997,18.8,ontime or early,5,1,430,188,4
