Route,lat,lon,stopId,title
N,37.7932299,-122.39654,17217,Embarcadero Station Outbound
N,37.78879,-122.4021299,16994,Montgomery Station Outbound
N,37.7843,-122.4078199,16995,Powell Station Outbound
N,37.7786799,-122.41499,16997,Civic Center Station Outbound
N,37.7752299,-122.41934,16996,Van Ness Station OB
N,37.7694699,-122.42941,14447,Duboce Ave & Church St
N,37.7693599,-122.43356,17252,Sunset Tunnel East Portal
N,37.7658599,-122.4498,13909,Carl St & Cole St
N,37.7655,-122.4525899,13914,Carl St & Stanyan St
N,37.7649999,-122.45656,13912,Carl St & Hillway Ave
N,37.7762699,-122.39408,15240,King St & 4th St
N,37.7796199,-122.38982,15237,King St & 2nd St
N,37.7846299,-122.38798,17145,The Embarcadero & Brannan St
N,37.7907499,-122.38984,14510,Embarcadero Folsom St
N,37.7649299,-122.45651,13913,Carl St & Hillway Ave
N,37.7653699,-122.45293,13915,Carl St & Stanyan St
N,37.7657499,-122.45013,13911,Carl St & Cole St
N,37.7692899,-122.43351,17318,Sunset Tunnel East Portal
N,37.7694099,-122.4294,14448,Duboce Ave & Church St
N,37.7751299,-122.41925,15419,Van Ness Station Inbound
N,37.7785399,-122.41481,15727,Civic Center Station Inbound
N,37.7841999,-122.40769,15417,Powell Station Inbound
N,37.7886999,-122.40192,15731,Montgomery Station Inbound
N,37.7931299,-122.39643,16992,Embarcadero Station Inbound
N,37.7904799,-122.38969,14509,The Embarcadero & Folsom St
N,37.7843599,-122.38814,14506,The Embarcadero & Brannan St
N,37.7797199,-122.38987,15234,King St & 2nd St
N,37.7762699,-122.39417,15239,King St & 4th St
N,37.7694599,-122.42912,17859,Duboce Ave & Church St Ada Only
N,37.7644399,-122.4586399,15118,Irving St & 2nd Ave
N,37.7643,-122.4608199,15119,Irving St & 4th Ave
N,37.7641599,-122.46403,15121,Irving St & 7th Ave
N,37.76411,-122.4661599,15123,Irving St & 9th Ave
N,37.7622299,-122.46669,15193,Judah St & 9th Ave
N,37.76207,-122.4693199,15195,Judah St & 12th Ave
N,37.7620799,-122.47033,15219,Judah St & Funston Ave
N,37.7619399,-122.47363,15198,Judah St & 16th Ave
N,37.7617399,-122.47692,15199,Judah St & 19th Ave
N,37.76155,-122.4811599,15202,Judah St & 23rd Ave
N,37.7614499,-122.4833,15203,Judah St & 25th Ave
N,37.7613099,-122.48651,15205,Judah St & 28th Ave
N,37.7611699,-122.48972,15207,Judah St & 31st Ave
N,37.76103,-122.4929299,15209,Judah St & 34th Ave
N,37.7609199,-122.49567,15224,Judah St & Sunset Blvd
N,37.76074,-122.4993599,15211,Judah St & 40th Ave
N,37.7606,-122.5025699,15213,Judah St & 43rd Ave
N,37.7604899,-122.50583,15215,Judah St & 46th Ave
N,37.7603499,-122.50868,17219,Judah St & La Playa St
N,37.7602999,-122.50818,15223,Judah St & La Playa St
N,37.7603899,-122.50606,15216,Judah St & 46th Ave
N,37.7605199,-122.50284,15214,Judah St & 43rd Ave
N,37.76068,-122.4991499,15212,Judah St & 40th Ave
N,37.7608499,-122.4958,15225,Judah St & Sunset Blvd
N,37.7609599,-122.4932,15210,Judah St & 34th Ave
N,37.7611099,-122.4895,15208,Judah St & 31st Ave
N,37.76123,-122.4867599,15206,Judah St & 28th Ave
N,37.76137,-122.4835599,15204,Judah St & 25th Ave
N,37.7615299,-122.47985,15201,Judah St & 22nd Ave
N,37.7616599,-122.47719,15200,Judah St & 19th Ave
N,37.7618499,-122.47278,15197,Judah St & 15th Ave
N,37.76195,-122.4705699,15220,Judah St & Funston Ave
N,37.76199,-122.4695299,15196,Judah St & 12th Ave
N,37.7621399,-122.46631,15194,Judah St & 9th Ave
N,37.76391,-122.46624,13212,9th Ave & Irving St
N,37.7640899,-122.46428,15122,Irving St & 7th Ave
N,37.76423,-122.4610599,15120,Irving St & 4th Ave
N,37.76437,-122.4580199,15124,Irving St & Arguello Blvd
N,37.7762499,-122.39393,17405,4th Street & King Street
N,37.7733199,-122.39777,15241,King St & 6th St **
N,37.7931299,-122.39632,17903,Embarcadero Station Right Outbound For Loop Jobs
N,37.77614,-122.39383,17397,4th Street & King Street
N,37.77332,-122.39777,135241,King St & 6th St **
N,37.79323,-122.39654,137217,Embarcadero Station Outbound
J,37.7932299,-122.39654,17217,Embarcadero Station Outbound
J,37.78879,-122.4021299,16994,Montgomery Station Outbound
J,37.7843,-122.4078199,16995,Powell Station Outbound
J,37.7786799,-122.41499,16997,Civic Center Station Outbound
J,37.7752299,-122.41934,16996,Van Ness Station OB
J,37.7694599,-122.42912,17859,Duboce Ave & Church St Ada Only
J,37.76779,-122.429,17316,Church St & 14th St
J,37.76462,-122.42872,13984,Church St & 16th St
J,37.7614699,-122.4284199,13987,Church St & 18th St
J,37.7582599,-122.4279199,16214,Right of Way & 20th St
J,37.7574511,-122.4269694,16221,Right of Way & Liberty St
J,37.7566399,-122.4269199,16216,Right of Way & 21st St
J,37.7546099,-122.4277499,16218,Church St & 22nd St
J,37.7517999,-122.4275,13995,Church St & 24th St
J,37.74939,-122.42729,14002,Church St & Clipper St
J,37.7469899,-122.4270699,13997,Church St & 27th St
J,37.7428099,-122.42665,14004,Church St & Day St
J,37.7421699,-122.42446,13538,30th St & Dolores St
J,37.7393899,-122.42432,16280,San Jose Ave & Randall St
J,37.7324,-122.4338499,14788,Glen Park Station
J,37.7289999,-122.44002,16285,San Jose Ave & Santa Rosa Ave
J,37.7258799,-122.44236,16287,San Jose Ave & Santa Ynez Ave
J,37.72309,-122.4446999,16274,San Jose Ave & Ocean Ave
J,37.7219099,-122.44744,17155,San Jose Ave & Geneva Ave
J,37.7907499,-122.38984,14510,Embarcadero Folsom St
J,37.7218099,-122.44742,15418,Metro Terminal
J,37.7212399,-122.44622,17778,San Jose & Geneva
J,37.7228599,-122.44479,16275,San Jose Ave & Ocean Ave
J,37.7256799,-122.44244,16288,San Jose Ave & Santa Ynez Ave
J,37.72899,-122.4399199,16284,San Jose Ave & Santa Rosa Ave
J,37.7325299,-122.43342,14787,Glen Park Station
J,37.73974,-122.4241599,16277,San Jose Ave & Randall St
J,37.7422999,-122.42403,13537,30th St & Dolores St
J,37.7422199,-122.42646,14000,Church St & 30th St
J,37.74359,-122.42658,13999,Church St & 29th St
J,37.74678,-122.42689,13998,Church St & 27th St
J,37.74918,-122.42712,14003,Church St & Clipper St
J,37.7515899,-122.42735,13996,Church St & 24th St
J,37.75474,-122.42764,13994,Church St & 22nd St
J,37.7564399,-122.42682,16217,Right of Way & 21st St
J,37.7572399,-122.42687,16222,Right of Way & Liberty St
J,37.7582299,-122.42779,16215,Right of Way & 20th St
J,37.7611899,-122.42818,16213,Right of Way & 18th St
J,37.7643799,-122.4286099,13985,Church St & 16th St
J,37.7675099,-122.4289299,17073,Church St & Market St
J,37.7692999,-122.42909,14006,Church St & Duboce Ave
J,37.7751299,-122.41925,15419,Van Ness Station Inbound
J,37.7785399,-122.41481,15727,Civic Center Station Inbound
J,37.7841999,-122.40769,15417,Powell Station Inbound
J,37.7886999,-122.40192,15731,Montgomery Station Inbound
J,37.7931299,-122.39643,16992,Embarcadero Station Inbound
J,37.7904799,-122.38969,14509,The Embarcadero & Folsom St
J,37.7931299,-122.39632,17903,Embarcadero Station Right Outbound For Loop Jobs
J,37.7694699,-122.4294099,14447,Duboce Ave & Church St
J,37.7694099,-122.4294,14448,Duboce Ave & Church St
J,37.79323,-122.39654,137217,Embarcadero Station Outbound
KT,37.7932299,-122.39654,17217,Embarcadero Station Outbound
KT,37.78879,-122.4021299,16994,Montgomery Station Outbound
KT,37.7843,-122.4078199,16995,Powell Station Outbound
KT,37.7786799,-122.41499,16997,Civic Center Station Outbound
KT,37.7752299,-122.41934,16996,Van Ness Station OB
KT,37.7673299,-122.42932,16998,Church St Station Outbound
KT,37.7626799,-122.43529,16991,Castro Station Outbound
KT,37.7481699,-122.45919,16993,Forest Hill Station Outbound
KT,37.7409499,-122.4658,16739,West Portal Station
KT,37.7380599,-122.46898,17125,West Portal Ave & 14th Ave
KT,37.7348099,-122.47162,16503,Saint Francis Circle
KT,37.7312699,-122.4718199,17114,Junipero Serra Blvd & Ocean Ave
KT,37.7299499,-122.4694699,15807,Ocean Ave & San Leandro Way
KT,37.7283799,-122.4678699,15780,Ocean Ave & Aptos Ave
KT,37.72725,-122.46676,15786,Ocean Ave & Cerritos Ave
KT,37.7260299,-122.4643399,15808,Ocean Ave & Victoria St
KT,37.72496,-122.46139,15793,Ocean Ave & Jules Ave
KT,37.72426,-122.45831,15798,Ocean Ave & Miramar Ave
KT,37.7234,-122.45442,15795,Ocean Ave & Lee St
KT,37.72295,-122.45087,15785,City College Pedestrian Bridge
KT,37.7218099,-122.44742,135418,Metro Terminal
KT,37.7554099,-122.388,17354,3rd St & 23rd St
KT,37.7605199,-122.38856,17355,3rd St & 20th St
KT,37.7643899,-122.3888499,17356,UCSF Medical Center (Mariposa) OB
KT,37.76905,-122.38931,17357,UCSF / Chase Center (16th Street) OB
KT,37.77298,-122.38968,17358,3rd St & Mission Rock St
KT,37.7762799,-122.39386,17166,4th Street & King Street
KT,37.7796199,-122.38982,15237,King St & 2nd St
KT,37.7846299,-122.38798,17145,The Embarcadero & Brannan St
KT,37.7907499,-122.38984,14510,Embarcadero Folsom St
KT,37.7089399,-122.40504,17398,Bay Shore Blvd & Sunnydale Ave.
KT,37.7122299,-122.40234,17399,Bay Shore Blvd & Arleta Ave/Blanken Ave
KT,37.71881,-122.39747,17400,3rd St & Le Conte Ave
KT,37.7224499,-122.39561,17347,3rd St & Gilman Ave
KT,37.72549,-122.3942199,17343,3rd St & Carroll Ave
KT,37.72929,-122.3925999,17345,3rd St & Van Dyke Ave
KT,37.7322599,-122.3915,17401,3rd St & Revere/Shafter
KT,37.7343599,-122.39084,17402,3rd St & Oakdale/Palou
KT,37.7376399,-122.38969,17403,3rd St & Kirkwood/La Salle
KT,37.73992,-122.3888799,17404,3rd St & Hudson/Innes Ave
KT,37.7427299,-122.38792,17352,3rd St & Evans Ave
KT,37.7489999,-122.38744,17353,3rd St & Marin St
KT,37.7408899,-122.46585,17058,West Portal Ave & Ulloa St
KT,37.77627,-122.3940799,15240,King St & 4th St
KT,37.7904799,-122.38969,14509,The Embarcadero & Folsom St
KT,37.7843599,-122.38814,14506,The Embarcadero & Brannan St
KT,37.7797199,-122.38987,15234,King St & 2nd St
KT,37.7761399,-122.39383,17397,4th Street & King Street
KT,37.77283,-122.3897199,17359,3rd St & Mission Rock St
KT,37.7685399,-122.3893299,17360,UCSF / Chase Center (16th Street) IB
KT,37.76424,-122.38886,17361,UCSF Medical Center (Mariposa) IB
KT,37.7603699,-122.38859,17362,3rd St & 20th St
KT,37.7552599,-122.3880499,17363,3rd St & 23rd St
KT,37.7490999,-122.38752,17364,3rd St & Marin St
KT,37.74273,-122.3880299,17365,3rd St & Evans Ave
KT,37.7399299,-122.38893,17390,3rd St & Hudson/Innes Ave
KT,37.73765,-122.3897299,17391,3rd St & Kirkwood/La Salle
KT,37.7343499,-122.39089,17392,3rd St & Oakdale/Palou
KT,37.7322899,-122.3916,17393,3rd St & Revere/Shafter
KT,37.7292099,-122.39268,17346,3rd St & Williams Ave
KT,37.7252399,-122.39439,17344,3rd St & Carrol Ave
KT,37.7221999,-122.39578,17342,3rd St & Paul Ave
KT,37.71864,-122.3976999,17394,3rd St & Le Conte Ave
KT,37.71225,-122.4023199,17395,Bay Shore Blvd & Arleta Ave/Blanken Ave
KT,37.7089699,-122.40511,17396,Bay Shore Blvd & Sunnydale Ave
KT,37.7218099,-122.44742,15418,Metro Terminal
KT,37.72124,-122.4462199,17778,San Jose & Geneva
KT,37.7230399,-122.4514499,15784,City College Pedestrian Bridge
KT,37.7234599,-122.4539999,15794,Ocean Ave & Lee St
KT,37.72439,-122.45808,15797,Ocean Ave & Miramar Ave
KT,37.7249599,-122.46106,15787,Ocean Ave & Dorado Ter
KT,37.7260099,-122.4640699,15788,Ocean Ave & Fairfield Way
KT,37.7271999,-122.4664799,15809,Ocean Ave & Westgate Dr
KT,37.7282899,-122.4675599,15779,Ocean Ave & Aptos Ave
KT,37.7299899,-122.4690999,15806,Ocean Ave & San Leandro Way
KT,37.7316299,-122.47171,17113,Ocean Ave & Junipero Serra Blvd
KT,37.7348299,-122.47145,17109,Saint Francis Circle
KT,37.7378599,-122.46904,16898,West Portal Ave & 14th Ave
KT,37.7412499,-122.46546,16740,West Portal Station
KT,37.7483499,-122.45862,15730,Forest Hill Station Inbound
KT,37.76262,-122.4352299,15728,Castro Station Inbound
KT,37.7671899,-122.42917,15726,Church St Station Inbound
KT,37.7751299,-122.41925,15419,Van Ness Station Inbound
KT,37.77854,-122.4148099,15727,Civic Center Station Inbound
KT,37.7842,-122.4076899,15417,Powell Station Inbound
KT,37.7887,-122.4019199,15731,Montgomery Station Inbound
KT,37.7931299,-122.39643,16992,Embarcadero Station Inbound
KT,37.7408899,-122.46585,137058,West Portal Ave & Ulloa St
KT,37.76262,-122.4352299,135728,Castro Station Inbound
KT,37.7931299,-122.39632,17903,Embarcadero Station Right Outbound For Loop Jobs
KT,37.77627,-122.3941699,15239,King St & 4th St
KT,37.79323,-122.39654,137217,Embarcadero Station Outbound
KT,37.7694099,-122.4294,14448,Duboce Ave & Church St
KT,37.7408899,-122.46585,117058,West Portal Ave & Ulloa St
M,37.7932299,-122.39654,17217,Embarcadero Station Outbound
M,37.78879,-122.4021299,16994,Montgomery Station Outbound
M,37.7843,-122.4078199,16995,Powell Station Outbound
M,37.7786799,-122.41499,16997,Civic Center Station Outbound
M,37.7752299,-122.41934,16996,Van Ness Station OB
M,37.7673299,-122.42932,16998,Church St Station Outbound
M,37.7626799,-122.43529,16991,Castro Station Outbound
M,37.7481699,-122.45919,16993,Forest Hill Station Outbound
M,37.7409499,-122.4658,16739,West Portal Station
M,37.7380599,-122.46898,17125,West Portal Ave & 14th Ave
M,37.7348099,-122.47162,16503,Saint Francis Circle
M,37.7342999,-122.47196,16226,Right of Way & Sloat Blvd
M,37.7320199,-122.47372,16223,Ocean Ave & Right of Way
M,37.73119,-122.4743499,16219,Right of Way & Eucalyptus Dr
M,37.72702,-122.4749399,13403,19th Ave & Winston Dr
M,37.7213399,-122.47524,13358,19th Ave & Holloway Ave
M,37.7162,-122.47167,13376,19th Ave & N Randolph St
M,37.7144399,-122.4699999,13387,19th Ave & Randolph St
M,37.7142,-122.46722,16173,Randolph St & Arch St
M,37.7142499,-122.46367,16175,Randolph St & Bright St
M,37.7133299,-122.46258,15825,Orizaba Ave & Broad St
M,37.71315,-122.45916,13716,Broad St & Capitol Ave
M,37.7131599,-122.45618,13719,Broad St & Plymouth Ave
M,37.71407,-122.4520799,16259,San Jose Ave & Farallones St
M,37.71608,-122.4504299,16266,San Jose Ave & Lakeview Ave
M,37.7182799,-122.44859,16268,San Jose Ave & Mt Vernon Ave
M,37.7195099,-122.44746,16269,San Jose Ave & Niagara Ave
M,37.7408899,-122.46585,17058,West Portal Ave & Ulloa St
M,37.7907499,-122.38984,14510,Embarcadero Folsom St
M,37.7200999,-122.4472,16262,San Jose Ave & Geneva Ave
M,37.71847,-122.4486399,17111,San Jose Ave & Mt Vernon Ave
M,37.7163299,-122.45037,16265,San Jose Ave & Lakeview Ave
M,37.7141499,-122.45215,16257,San Jose Ave & Farallones St
M,37.7132199,-122.45593,13718,Broad St & Plymouth Ave
M,37.7131899,-122.45892,13715,Broad St & Capitol Ave
M,37.71318,-122.4623299,13717,Broad St & Orizaba Ave
M,37.7143499,-122.4633899,16174,Randolph St & Bright St
M,37.7143399,-122.46698,16172,Randolph St & Arch St
M,37.7142799,-122.4696199,13385,19th Ave & Randolph St
M,37.71689,-122.47227,13361,19th Ave & Junipero Serra Blvd
M,37.7213399,-122.47518,17065,19th Ave & Holloway Ave
M,37.7272,-122.4748499,17449,19th Ave & Winston Dr
M,37.7309899,-122.47437,16220,Right of Way & Eucalyptus Dr
M,37.73181,-122.4738099,16224,Ocean Ave & Right of Way
M,37.7342999,-122.47189,16225,Right of Way & Sloat Blvd
M,37.7348299,-122.47145,17109,Saint Francis Circle
M,37.73786,-122.4690399,16898,West Portal Ave & 14th Ave
